conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
ACTOR_TYPE:1,Individual,,ACTOR_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
ACTOR_TYPE:2,Architect,,ACTOR_TYPE:1,Index,GCI
ACTOR_TYPE:3,Builder,,ACTOR_TYPE:1,Index,GCI
ACTOR_TYPE:4,Entertainer,,ACTOR_TYPE:1,Index,GCI
ACTOR_TYPE:5,Athlete,,ACTOR_TYPE:1,Index,GCI
ACTOR_TYPE:6,Surveyor,,ACTOR_TYPE:1,Index,GCI
ACTOR_TYPE:7,Photographer,,ACTOR_TYPE:1,Index,GCI
ACTOR_TYPE:8,Artist ,,ACTOR_TYPE:1,Index,GCI
ACTOR_TYPE:9,Group,,ACTOR_TYPE_AUTHORITY_DOCUMENT.csv,Index,GCI
ACTOR_TYPE:10,Organization,,ACTOR_TYPE:9,Index,GCI
ACTOR_TYPE:11,Family,,ACTOR_TYPE:9,Index,GCI
ACTOR_TYPE:12,Architecture/Design Firm,,ACTOR_TYPE:9,Index,GCI
ACTOR_TYPE:13,Construction Company,,ACTOR_TYPE:9,Index,GCI
ACTOR_TYPE:14,Surveying Firm,,ACTOR_TYPE:9,Index,GCI
ACTOR_TYPE:15,Engineer,,ACTOR_TYPE:1,Index,GCI
ACTOR_TYPE:16,Engineering Firm,,ACTOR_TYPE:9,Index,GCI
ACTOR_TYPE:17,Plantation Owner,,ACTOR_TYPE:1,Index,CRNHA
ACTOR_TYPE:18,Clergy,,ACTOR_TYPE:1,Index,CRNHA
ACTOR_TYPE:19,Congregation,,ACTOR_TYPE:9,Index,CRNHA
ACTOR_TYPE:20,Fraternal Organization,,ACTOR_TYPE:9,Index,CRNHA
ACTOR_TYPE:21,Fraternal Organization (Auxiliary),,ACTOR_TYPE:9,Index,CRNHA
