conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
ADMINISTRATIVE_SUBDIVISION:1,Natchitoches Historic District,,ADMINISTRATIVE_SUBDIVISION_TYPE_AUTHORITY_DOCUMENT.csv,Index,CRNHA
ADMINISTRATIVE_SUBDIVISION:2,Cane River Creole NHP - Oakland,,ADMINISTRATIVE_SUBDIVISION_TYPE_AUTHORITY_DOCUMENT.csv,Index,CRNHA
ADMINISTRATIVE_SUBDIVISION:3,Cane River Creole NHP - Magnolia,,ADMINISTRATIVE_SUBDIVISION_TYPE_AUTHORITY_DOCUMENT.csv,Index,CRNHA
ADMINISTRATIVE_SUBDIVISION:4,Kisatchie National Forest,,ADMINISTRATIVE_SUBDIVISION_TYPE_AUTHORITY_DOCUMENT.csv,Index,CRNHA
ADMINISTRATIVE_SUBDIVISION:5,Cemeteries:,,ADMINISTRATIVE_SUBDIVISION_TYPE_AUTHORITY_DOCUMENT.csv,Collector,CRNHA
ADMINISTRATIVE_SUBDIVISION:6,American Cemetery,,ADMINISTRATIVE_SUBDIVISION:5,Index,CRNHA
ADMINISTRATIVE_SUBDIVISION:7,Beasely Cemetery,,ADMINISTRATIVE_SUBDIVISION:5,Index,CRNHA
ADMINISTRATIVE_SUBDIVISION:8,Bolton Cemetery,,ADMINISTRATIVE_SUBDIVISION:5,Index,CRNHA
ADMINISTRATIVE_SUBDIVISION:9,Russell Cemetery,,ADMINISTRATIVE_SUBDIVISION:5,Index,CRNHA
ADMINISTRATIVE_SUBDIVISION:10,St. Augustine Cemetery,,ADMINISTRATIVE_SUBDIVISION:5,Index,CRNHA
