conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
PERIOD_UID:1,POST-CONTACT,,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,collector,CRNHA
PERIOD_UID:2,Plantation Agriculture (1750-1945),,PERIOD_UID:1,Index,CRNHA
PERIOD_UID:3,Creole Agriculture (1750-1900),,PERIOD_UID:1,Index,CRNHA
PERIOD_UID:4,Upland South Culture (1820-1945),,PERIOD_UID:1,Index,CRNHA
PERIOD_UID:5,Transportation Systems (1812-1845) ,,PERIOD_UID:1,Index,CRNHA
PERIOD_UID:6,Historic Lumber Industry (1880-1920),,PERIOD_UID:1,Index,CRNHA
PERIOD_UID:7,Rice Boom (1880-1945),,PERIOD_UID:1,Index,CRNHA
PERIOD_UID:8,Oil and Gas Industry (1903-1945),,PERIOD_UID:1,Index,CRNHA
PERIOD_UID:9,Anglo-American Architecture (1800-1945),,PERIOD_UID:1,Index,CRNHA
PERIOD_UID:10,PRE-CONTACT,,CULTURAL_PERIOD_AUTHORITY_DOCUMENT.csv,collector,
PERIOD_UID:11,Archaic Period,,PERIOD_UID:10,Index,CRNHA
PERIOD_UID:12,Woodland Period,,PERIOD_UID:10,Index,CRNHA
PERIOD_UID:13,Caddoan Mississippian,,PERIOD_UID:10,Index,CRNHA
