conceptid,Value,ValueType,Provider
Eligibility Type:845,6,eligCtpValue,GCI
Eligibility Type:1299,6,eligCtpValue,GCI
Eligibility Type:1345,6,eligCtpValue,GCI
Eligibility Type:1586,6,eligCtpValue,GCI
Eligibility Type:1613,6,eligCtpValue,GCI
Eligibility Type:845,7,eligCtpValue,GCI
Eligibility Type:1299,7,eligCtpValue,GCI
Eligibility Type:1345,7,eligCtpValue,GCI
Eligibility Type:1586,7,eligCtpValue,GCI
Eligibility Type:1613,7,eligCtpValue,GCI
Eligibility Type:845,8,eligCtpValue,GCI
Eligibility Type:1299,8,eligCtpValue,GCI
Eligibility Type:1345,8,eligCtpValue,GCI
Eligibility Type:1586,8,eligCtpValue,GCI
Eligibility Type:1613,8,eligCtpValue,GCI
Eligibility Type:845,9,eligCtpValue,GCI
Eligibility Type:1299,9,eligCtpValue,GCI
Eligibility Type:1345,9,eligCtpValue,GCI
Eligibility Type:1586,9,eligCtpValue,GCI
Eligibility Type:1613,9,eligCtpValue,GCI
Eligibility Type:730,10,eligCtpValue,GCI
Eligibility Type:879,10,eligCtpValue,GCI
Eligibility Type:1299,10,eligCtpValue,GCI
Eligibility Type:1345,10,eligCtpValue,GCI
Eligibility Type:1586,10,eligCtpValue,GCI
Eligibility Type:1613,10,eligCtpValue,GCI
Eligibility Type:730,11,eligCtpValue,GCI
Eligibility Type:879,11,eligCtpValue,GCI
Eligibility Type:1299,11,eligCtpValue,GCI
Eligibility Type:1345,11,eligCtpValue,GCI
Eligibility Type:1586,11,eligCtpValue,GCI
Eligibility Type:1613,11,eligCtpValue,GCI
Eligibility Type:730,12,eligCtpValue,GCI
Eligibility Type:879,12,eligCtpValue,GCI
Eligibility Type:1299,12,eligCtpValue,GCI
Eligibility Type:1345,12,eligCtpValue,GCI
Eligibility Type:1586,12,eligCtpValue,GCI
Eligibility Type:1613,12,eligCtpValue,GCI
Eligibility Type:730,13,eligCtpValue,GCI
Eligibility Type:879,13,eligCtpValue,GCI
Eligibility Type:1299,13,eligCtpValue,GCI
Eligibility Type:1345,13,eligCtpValue,GCI
Eligibility Type:1586,13,eligCtpValue,GCI
Eligibility Type:1613,13,eligCtpValue,GCI
Eligibility Type:495,14,eligCtpValue,GCI
Eligibility Type:1299,14,eligCtpValue,GCI
Eligibility Type:1345,14,eligCtpValue,GCI
Eligibility Type:1613,14,eligCtpValue,GCI
Eligibility Type:1641,14,eligCtpValue,GCI
Eligibility Type:2055,14,eligCtpValue,GCI
Eligibility Type:495,15,eligCtpValue,GCI
Eligibility Type:1299,15,eligCtpValue,GCI
Eligibility Type:1345,15,eligCtpValue,GCI
Eligibility Type:1613,15,eligCtpValue,GCI
Eligibility Type:1641,15,eligCtpValue,GCI
Eligibility Type:2055,15,eligCtpValue,GCI
Eligibility Type:495,16,eligCtpValue,GCI
Eligibility Type:988,16,eligCtpValue,GCI
Eligibility Type:1299,16,eligCtpValue,GCI
Eligibility Type:1345,16,eligCtpValue,GCI
Eligibility Type:1613,16,eligCtpValue,GCI
Eligibility Type:1641,16,eligCtpValue,GCI
Eligibility Type:2055,16,eligCtpValue,GCI
Eligibility Type:495,17,eligCtpValue,GCI
Eligibility Type:1299,17,eligCtpValue,GCI
Eligibility Type:1345,17,eligCtpValue,GCI
Eligibility Type:1613,17,eligCtpValue,GCI
Eligibility Type:1644,17,eligCtpValue,GCI
Eligibility Type:2055,17,eligCtpValue,GCI
Eligibility Type:495,18,eligCtpValue,GCI
Eligibility Type:1299,18,eligCtpValue,GCI
Eligibility Type:1345,18,eligCtpValue,GCI
Eligibility Type:1613,18,eligCtpValue,GCI
Eligibility Type:1644,18,eligCtpValue,GCI
Eligibility Type:2055,18,eligCtpValue,GCI
Eligibility Type:495,19,eligCtpValue,GCI
Eligibility Type:1299,19,eligCtpValue,GCI
Eligibility Type:1345,19,eligCtpValue,GCI
Eligibility Type:1613,19,eligCtpValue,GCI
Eligibility Type:1644,19,eligCtpValue,GCI
Eligibility Type:2055,19,eligCtpValue,GCI
Eligibility Type:495,20,eligCtpValue,GCI
Eligibility Type:1299,20,eligCtpValue,GCI
Eligibility Type:1345,20,eligCtpValue,GCI
Eligibility Type:1613,20,eligCtpValue,GCI
Eligibility Type:1644,20,eligCtpValue,GCI
Eligibility Type:2055,20,eligCtpValue,GCI
Eligibility Type:495,21,eligCtpValue,GCI
Eligibility Type:988,21,eligCtpValue,GCI
Eligibility Type:1299,21,eligCtpValue,GCI
Eligibility Type:1345,21,eligCtpValue,GCI
Eligibility Type:1613,21,eligCtpValue,GCI
Eligibility Type:1644,21,eligCtpValue,GCI
Eligibility Type:2055,21,eligCtpValue,GCI
Eligibility Type:495,22,eligCtpValue,GCI
