conceptid,Value,ValueType,Provider
CTP:6,1959,ctpValue,GCI
CTP:7,1923,ctpValue,GCI
CTP:8,1922,ctpValue,GCI
CTP:12,1260,ctpValue,GCI
CTP:13,1261,ctpValue,GCI
CTP:15,1262,ctpValue,GCI
CTP:16,1263,ctpValue,GCI
CTP:17,1264,ctpValue,GCI
CTP:18,1990,ctpValue,GCI
CTP:19,1991,ctpValue,GCI
CTP:20,1992,ctpValue,GCI
CTP:22,1266,ctpValue,GCI
CTP:23,1267,ctpValue,GCI
CTP:27,1998,ctpValue,GCI
CTP:29,14,ctpValue,GCI
CTP:30,16,ctpValue,GCI
CTP:31,15,ctpValue,GCI
CTP:33,1084,ctpValue,GCI
CTP:35,18,ctpValue,GCI
CTP:36,21,ctpValue,GCI
CTP:37,20,ctpValue,GCI
CTP:38,19,ctpValue,GCI
CTP:39,17,ctpValue,GCI
CTP:41,22,ctpValue,GCI
CTP:42,24,ctpValue,GCI
CTP:43,1952,ctpValue,GCI
CTP:44,23,ctpValue,GCI
CTP:47,64,ctpValue,GCI
CTP:49,1259,ctpValue,GCI
CTP:50,1258,ctpValue,GCI
CTP:52,66,ctpValue,GCI
CTP:53,67,ctpValue,GCI
CTP:54,65,ctpValue,GCI
CTP:57,77,ctpValue,GCI
CTP:58,79,ctpValue,GCI
CTP:59,78,ctpValue,GCI
CTP:60,76,ctpValue,GCI
CTP:62,1979,ctpValue,GCI
CTP:63,1981,ctpValue,GCI
CTP:64,1980,ctpValue,GCI
CTP:65,80,ctpValue,GCI
CTP:67,82,ctpValue,GCI
CTP:68,81,ctpValue,GCI
CTP:70,89,ctpValue,GCI
CTP:71,91,ctpValue,GCI
CTP:72,90,ctpValue,GCI
CTP:74,83,ctpValue,GCI
CTP:75,84,ctpValue,GCI
CTP:77,86,ctpValue,GCI
CTP:78,88,ctpValue,GCI
CTP:79,87,ctpValue,GCI
CTP:80,85,ctpValue,GCI
CTP:83,1297,ctpValue,GCI
CTP:84,1296,ctpValue,GCI
CTP:86,1299,ctpValue,GCI
CTP:87,1747,ctpValue,GCI
CTP:88,1746,ctpValue,GCI
CTP:89,1298,ctpValue,GCI
CTP:91,1300,ctpValue,GCI
CTP:93,1295,ctpValue,GCI
CTP:94,1294,ctpValue,GCI
CTP:98,1023,ctpValue,GCI
CTP:100,1022,ctpValue,GCI
CTP:103,1015,ctpValue,GCI
CTP:106,1017,ctpValue,GCI
CTP:107,1018,ctpValue,GCI
CTP:108,1019,ctpValue,GCI
CTP:110,1020,ctpValue,GCI
CTP:112,1016,ctpValue,GCI
CTP:115,1014,ctpValue,GCI
CTP:118,1021,ctpValue,GCI
CTP:121,1024,ctpValue,GCI
CTP:125,1748,ctpValue,GCI
CTP:126,1011,ctpValue,GCI
CTP:129,1013,ctpValue,GCI
CTP:131,1012,ctpValue,GCI
CTP:134,1004,ctpValue,GCI
CTP:135,1003,ctpValue,GCI
CTP:137,1002,ctpValue,GCI
CTP:138,1001,ctpValue,GCI
CTP:141,1010,ctpValue,GCI
CTP:143,1009,ctpValue,GCI
CTP:144,1008,ctpValue,GCI
CTP:147,1966,ctpValue,GCI
CTP:148,1007,ctpValue,GCI
CTP:149,1967,ctpValue,GCI
CTP:151,1006,ctpValue,GCI
CTP:152,1005,ctpValue,GCI
CTP:156,1758,ctpValue,GCI
CTP:158,1760,ctpValue,GCI
CTP:159,1759,ctpValue,GCI
CTP:161,1761,ctpValue,GCI
CTP:162,1763,ctpValue,GCI
CTP:163,1764,ctpValue,GCI
CTP:164,1762,ctpValue,GCI
CTP:167,1815,ctpValue,GCI
CTP:168,1948,ctpValue,GCI
CTP:170,1819,ctpValue,GCI
CTP:171,1820,ctpValue,GCI
CTP:173,1821,ctpValue,GCI
CTP:174,1822,ctpValue,GCI
CTP:176,1818,ctpValue,GCI
CTP:177,1816,ctpValue,GCI
CTP:178,1817,ctpValue,GCI
CTP:180,1814,ctpValue,GCI
CTP:182,1811,ctpValue,GCI
CTP:184,1847,ctpValue,GCI
CTP:185,1848,ctpValue,GCI
CTP:186,1846,ctpValue,GCI
CTP:187,1849,ctpValue,GCI
CTP:188,1805,ctpValue,GCI
CTP:190,1830,ctpValue,GCI
CTP:192,1968,ctpValue,GCI
CTP:193,1823,ctpValue,GCI
CTP:194,1825,ctpValue,GCI
CTP:195,1824,ctpValue,GCI
CTP:197,1826,ctpValue,GCI
CTP:198,1828,ctpValue,GCI
CTP:199,1827,ctpValue,GCI
CTP:200,1829,ctpValue,GCI
CTP:201,1806,ctpValue,GCI
CTP:203,1851,ctpValue,GCI
CTP:204,1850,ctpValue,GCI
CTP:207,1776,ctpValue,GCI
CTP:209,1775,ctpValue,GCI
CTP:211,1773,ctpValue,GCI
CTP:212,1774,ctpValue,GCI
CTP:214,1770,ctpValue,GCI
CTP:216,1778,ctpValue,GCI
CTP:218,1777,ctpValue,GCI
CTP:220,1772,ctpValue,GCI
CTP:221,1771,ctpValue,GCI
CTP:224,1767,ctpValue,GCI
CTP:225,1766,ctpValue,GCI
CTP:226,1852,ctpValue,GCI
CTP:228,1976,ctpValue,GCI
CTP:230,1769,ctpValue,GCI
CTP:232,1768,ctpValue,GCI
CTP:234,1977,ctpValue,GCI
CTP:235,1978,ctpValue,GCI
CTP:237,1765,ctpValue,GCI
CTP:240,1799,ctpValue,GCI
CTP:241,1800,ctpValue,GCI
CTP:243,1801,ctpValue,GCI
CTP:244,1802,ctpValue,GCI
CTP:246,1804,ctpValue,GCI
CTP:248,1803,ctpValue,GCI
CTP:250,1798,ctpValue,GCI
CTP:251,1797,ctpValue,GCI
CTP:254,1648,ctpValue,GCI
CTP:255,1647,ctpValue,GCI
CTP:257,1650,ctpValue,GCI
CTP:258,1649,ctpValue,GCI
CTP:260,1646,ctpValue,GCI
CTP:261,1645,ctpValue,GCI
CTP:265,1145,ctpValue,GCI
CTP:266,1144,ctpValue,GCI
CTP:267,1143,ctpValue,GCI
CTP:270,1142,ctpValue,GCI
CTP:271,1141,ctpValue,GCI
CTP:274,1405,ctpValue,GCI
CTP:277,1389,ctpValue,GCI
CTP:278,1387,ctpValue,GCI
CTP:279,1388,ctpValue,GCI
CTP:280,1386,ctpValue,GCI
CTP:283,1393,ctpValue,GCI
CTP:284,1391,ctpValue,GCI
CTP:285,1392,ctpValue,GCI
CTP:286,1390,ctpValue,GCI
CTP:289,1278,ctpValue,GCI
CTP:292,1150,ctpValue,GCI
CTP:294,1280,ctpValue,GCI
CTP:297,1277,ctpValue,GCI
CTP:298,1276,ctpValue,GCI
CTP:299,1275,ctpValue,GCI
CTP:302,1148,ctpValue,GCI
CTP:305,1158,ctpValue,GCI
CTP:308,1272,ctpValue,GCI
CTP:311,1157,ctpValue,GCI
CTP:312,1156,ctpValue,GCI
CTP:314,1155,ctpValue,GCI
CTP:315,1154,ctpValue,GCI
CTP:317,1153,ctpValue,GCI
CTP:318,1152,ctpValue,GCI
CTP:321,1147,ctpValue,GCI
CTP:323,1146,ctpValue,GCI
CTP:326,1743,ctpValue,GCI
CTP:327,1745,ctpValue,GCI
CTP:328,1744,ctpValue,GCI
CTP:330,1151,ctpValue,GCI
CTP:333,1149,ctpValue,GCI
CTP:336,1160,ctpValue,GCI
CTP:339,1750,ctpValue,GCI
CTP:340,1159,ctpValue,GCI
CTP:343,1217,ctpValue,GCI
CTP:345,1215,ctpValue,GCI
CTP:346,1214,ctpValue,GCI
CTP:348,1216,ctpValue,GCI
CTP:349,1213,ctpValue,GCI
CTP:351,1226,ctpValue,GCI
CTP:352,1227,ctpValue,GCI
CTP:353,1225,ctpValue,GCI
CTP:355,1177,ctpValue,GCI
CTP:356,1178,ctpValue,GCI
CTP:357,1176,ctpValue,GCI
CTP:359,1220,ctpValue,GCI
CTP:361,1219,ctpValue,GCI
CTP:362,1218,ctpValue,GCI
CTP:365,1713,ctpValue,GCI
CTP:366,1221,ctpValue,GCI
CTP:368,1710,ctpValue,GCI
CTP:369,1724,ctpValue,GCI
CTP:371,1725,ctpValue,GCI
CTP:372,1711,ctpValue,GCI
CTP:375,1755,ctpValue,GCI
CTP:377,1756,ctpValue,GCI
CTP:378,1757,ctpValue,GCI
CTP:380,1754,ctpValue,GCI
CTP:381,1906,ctpValue,GCI
CTP:382,1907,ctpValue,GCI
CTP:383,1908,ctpValue,GCI
CTP:385,1753,ctpValue,GCI
CTP:388,1659,ctpValue,GCI
CTP:389,1658,ctpValue,GCI
CTP:390,1696,ctpValue,GCI
CTP:392,1697,ctpValue,GCI
CTP:393,1655,ctpValue,GCI
CTP:395,1698,ctpValue,GCI
CTP:396,1706,ctpValue,GCI
CTP:398,1701,ctpValue,GCI
CTP:399,1653,ctpValue,GCI
CTP:401,1656,ctpValue,GCI
CTP:402,1657,ctpValue,GCI
CTP:403,1700,ctpValue,GCI
CTP:405,1654,ctpValue,GCI
CTP:406,1699,ctpValue,GCI
CTP:408,1695,ctpValue,GCI
CTP:409,1651,ctpValue,GCI
CTP:411,1205,ctpValue,GCI
CTP:413,1688,ctpValue,GCI
CTP:414,1689,ctpValue,GCI
CTP:415,1690,ctpValue,GCI
CTP:416,1691,ctpValue,GCI
CTP:417,1693,ctpValue,GCI
CTP:418,1692,ctpValue,GCI
CTP:419,1668,ctpValue,GCI
CTP:420,1702,ctpValue,GCI
CTP:422,1660,ctpValue,GCI
CTP:423,1663,ctpValue,GCI
CTP:424,1678,ctpValue,GCI
CTP:425,1681,ctpValue,GCI
CTP:426,1662,ctpValue,GCI
CTP:427,1664,ctpValue,GCI
CTP:428,1682,ctpValue,GCI
CTP:429,1661,ctpValue,GCI
CTP:430,1679,ctpValue,GCI
CTP:431,1687,ctpValue,GCI
CTP:432,1680,ctpValue,GCI
CTP:434,1669,ctpValue,GCI
CTP:435,1694,ctpValue,GCI
CTP:436,1670,ctpValue,GCI
CTP:437,1671,ctpValue,GCI
CTP:438,1673,ctpValue,GCI
CTP:439,1672,ctpValue,GCI
CTP:440,1685,ctpValue,GCI
CTP:442,1674,ctpValue,GCI
CTP:443,1676,ctpValue,GCI
CTP:444,1677,ctpValue,GCI
CTP:445,1675,ctpValue,GCI
CTP:447,1684,ctpValue,GCI
CTP:448,1665,ctpValue,GCI
CTP:449,1666,ctpValue,GCI
CTP:451,1704,ctpValue,GCI
CTP:452,1703,ctpValue,GCI
CTP:453,1686,ctpValue,GCI
CTP:454,1705,ctpValue,GCI
CTP:456,1181,ctpValue,GCI
CTP:457,1182,ctpValue,GCI
CTP:458,1189,ctpValue,GCI
CTP:459,1190,ctpValue,GCI
CTP:460,1180,ctpValue,GCI
CTP:461,1179,ctpValue,GCI
CTP:465,1733,ctpValue,GCI
CTP:466,1732,ctpValue,GCI
CTP:467,1731,ctpValue,GCI
CTP:468,1730,ctpValue,GCI
CTP:470,1729,ctpValue,GCI
CTP:472,1728,ctpValue,GCI
CTP:473,1727,ctpValue,GCI
CTP:475,1723,ctpValue,GCI
CTP:477,1716,ctpValue,GCI
CTP:478,1717,ctpValue,GCI
CTP:479,1718,ctpValue,GCI
CTP:480,1719,ctpValue,GCI
CTP:482,1720,ctpValue,GCI
CTP:483,1721,ctpValue,GCI
CTP:484,1722,ctpValue,GCI
CTP:486,1715,ctpValue,GCI
CTP:488,1964,ctpValue,GCI
CTP:489,1963,ctpValue,GCI
CTP:492,1735,ctpValue,GCI
CTP:493,1644,ctpValue,GCI
CTP:494,1643,ctpValue,GCI
CTP:496,1962,ctpValue,GCI
CTP:497,1965,ctpValue,GCI
CTP:499,1961,ctpValue,GCI
CTP:500,1960,ctpValue,GCI
CTP:502,1171,ctpValue,GCI
CTP:503,1172,ctpValue,GCI
CTP:504,1173,ctpValue,GCI
CTP:505,1174,ctpValue,GCI
CTP:509,1290,ctpValue,GCI
CTP:510,1289,ctpValue,GCI
CTP:511,1969,ctpValue,GCI
CTP:512,1288,ctpValue,GCI
CTP:513,1291,ctpValue,GCI
CTP:514,1287,ctpValue,GCI
CTP:515,1970,ctpValue,GCI
CTP:517,1286,ctpValue,GCI
CTP:520,1285,ctpValue,GCI
CTP:523,1284,ctpValue,GCI
CTP:527,1246,ctpValue,GCI
CTP:528,1245,ctpValue,GCI
CTP:529,1247,ctpValue,GCI
CTP:533,1937,ctpValue,GCI
CTP:534,1938,ctpValue,GCI
CTP:535,1939,ctpValue,GCI
CTP:536,1935,ctpValue,GCI
CTP:537,1936,ctpValue,GCI
CTP:538,1933,ctpValue,GCI
CTP:539,1934,ctpValue,GCI
CTP:540,1940,ctpValue,GCI
CTP:542,1432,ctpValue,GCI
CTP:545,1087,ctpValue,GCI
CTP:546,1086,ctpValue,GCI
CTP:547,1088,ctpValue,GCI
CTP:548,1089,ctpValue,GCI
CTP:549,1091,ctpValue,GCI
CTP:550,1090,ctpValue,GCI
CTP:553,1947,ctpValue,GCI
CTP:554,1752,ctpValue,GCI
CTP:556,1234,ctpValue,GCI
CTP:558,1237,ctpValue,GCI
CTP:559,1236,ctpValue,GCI
CTP:563,1516,ctpValue,GCI
CTP:566,1517,ctpValue,GCI
CTP:569,1518,ctpValue,GCI
CTP:570,1520,ctpValue,GCI
CTP:571,1519,ctpValue,GCI
CTP:572,1522,ctpValue,GCI
CTP:573,1521,ctpValue,GCI
CTP:574,1523,ctpValue,GCI
CTP:577,1524,ctpValue,GCI
CTP:580,1525,ctpValue,GCI
CTP:582,1526,ctpValue,GCI
CTP:585,1950,ctpValue,GCI
CTP:588,1233,ctpValue,GCI
CTP:589,1232,ctpValue,GCI
CTP:592,1579,ctpValue,GCI
CTP:593,1577,ctpValue,GCI
CTP:594,1628,ctpValue,GCI
CTP:595,1578,ctpValue,GCI
CTP:596,1576,ctpValue,GCI
CTP:599,1430,ctpValue,GCI
CTP:602,1240,ctpValue,GCI
CTP:605,1637,ctpValue,GCI
CTP:607,1065,ctpValue,GCI
CTP:610,1092,ctpValue,GCI
CTP:613,1982,ctpValue,GCI
CTP:614,1983,ctpValue,GCI
CTP:615,1985,ctpValue,GCI
CTP:616,1984,ctpValue,GCI
CTP:619,1066,ctpValue,GCI
CTP:621,1242,ctpValue,GCI
CTP:624,1252,ctpValue,GCI
CTP:625,1256,ctpValue,GCI
CTP:626,1254,ctpValue,GCI
CTP:627,1253,ctpValue,GCI
CTP:628,1932,ctpValue,GCI
CTP:629,1575,ctpValue,GCI
CTP:630,1251,ctpValue,GCI
CTP:631,1574,ctpValue,GCI
CTP:634,1349,ctpValue,GCI
CTP:636,1972,ctpValue,GCI
CTP:637,1347,ctpValue,GCI
CTP:638,1350,ctpValue,GCI
CTP:642,1243,ctpValue,GCI
CTP:645,1309,ctpValue,GCI
CTP:646,1311,ctpValue,GCI
CTP:647,1308,ctpValue,GCI
CTP:648,1310,ctpValue,GCI
CTP:654,1528,ctpValue,GCI
CTP:655,1529,ctpValue,GCI
CTP:658,1527,ctpValue,GCI
CTP:661,1530,ctpValue,GCI
CTP:664,1531,ctpValue,GCI
CTP:667,1532,ctpValue,GCI
CTP:668,1533,ctpValue,GCI
CTP:669,1573,ctpValue,GCI
CTP:670,1534,ctpValue,GCI
CTP:671,1535,ctpValue,GCI
CTP:674,1536,ctpValue,GCI
CTP:678,1537,ctpValue,GCI
CTP:681,1538,ctpValue,GCI
CTP:685,1629,ctpValue,GCI
CTP:687,1293,ctpValue,GCI
CTP:689,1292,ctpValue,GCI
CTP:694,1406,ctpValue,GCI
CTP:695,1407,ctpValue,GCI
CTP:696,1409,ctpValue,GCI
CTP:697,1408,ctpValue,GCI
CTP:700,1395,ctpValue,GCI
CTP:703,1396,ctpValue,GCI
CTP:706,1410,ctpValue,GCI
CTP:707,1412,ctpValue,GCI
CTP:708,1411,ctpValue,GCI
CTP:709,1414,ctpValue,GCI
CTP:710,1413,ctpValue,GCI
CTP:713,1999,ctpValue,GCI
CTP:714,1986,ctpValue,GCI
CTP:717,1102,ctpValue,GCI
CTP:721,1057,ctpValue,GCI
CTP:722,1056,ctpValue,GCI
CTP:725,1055,ctpValue,GCI
CTP:728,1062,ctpValue,GCI
CTP:729,1061,ctpValue,GCI
CTP:732,1068,ctpValue,GCI
CTP:735,1996,ctpValue,GCI
CTP:736,1995,ctpValue,GCI
CTP:739,1951,ctpValue,GCI
CTP:742,1101,ctpValue,GCI
CTP:743,1099,ctpValue,GCI
CTP:744,1100,ctpValue,GCI
