conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
HISTRES_TYPE_ID:1,Single Pen ,,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,LASHPO-LHRI
HISTRES_TYPE_ID:2,Shotgun,,HISTRES_TYPE_ID:1,Index,LASHPO-LHRI
HISTRES_TYPE_ID:3,Double-Shotgun,,HISTRES_TYPE_ID:1,Index,LASHPO-LHRI
HISTRES_TYPE_ID:4,Camelback,,HISTRES_TYPE_ID:1,Index,LASHPO-LHRI
HISTRES_TYPE_ID:5,Double Pen,,HISTRES_TYPE_ID:1,Index,LASHPO-LHRI
HISTRES_TYPE_ID:6,Hall-Parlor,,HISTRES_TYPE_ID:1,Index,LASHPO-LHRI
HISTRES_TYPE_ID:7,Saddlebag,,HISTRES_TYPE_ID:1,Index,LASHPO-LHRI
HISTRES_TYPE_ID:8,Creole Cottage,,HISTRES_TYPE_ID:1,Index,LASHPO-LHRI
HISTRES_TYPE_ID:9,Dog Trot,,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,LASHPO-LHRI
HISTRES_TYPE_ID:10,Central-Hall,,HISTRES_TYPE_ID:9,Index,LASHPO-LHRI
HISTRES_TYPE_ID:11,Gable-Ell,,HISTRES_TYPE_ID:9,Index,LASHPO-LHRI
HISTRES_TYPE_ID:12,Bungalow,,HISTRES_TYPE_ID:9,Index,LASHPO-LHRI
HISTRES_TYPE_ID:13,Pyramidal Cottage,,HISTRES_TYPE_ID:9,Index,LASHPO-LHRI
HISTRES_TYPE_ID:14,Queen Anne Cottage,,HISTRES_TYPE_ID:9,Index,LASHPO-LHRI
HISTRES_TYPE_ID:15,Central-Hall 2 Pile Cottage,,HISTRES_TYPE_ID:9,Index,LASHPO-LHRI
HISTRES_TYPE_ID:16,Bluffland Cottage,,HISTRES_TYPE_ID:9,Index,LASHPO-LHRI
HISTRES_TYPE_ID:17,Central-Hall I-House,,HISTRES_TYPE_ID:9,Index,LASHPO-LHRI
HISTRES_TYPE_ID:18,Double-Pen I-House,,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,LASHPO-LHRI
HISTRES_TYPE_ID:19,Hall-Parlor I-House,,HISTRES_TYPE_ID:18,Index,LASHPO-LHRI
HISTRES_TYPE_ID:20,Creole House,,HISTRES_TYPE_ID:18,Index,LASHPO-LHRI
HISTRES_TYPE_ID:21,Central Hall 2 Pile House,,HISTRES_TYPE_ID:18,Index,LASHPO-LHRI
HISTRES_TYPE_ID:22,Queen Anne House,,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,LASHPO-LHRI
HISTRES_TYPE_ID:23,Four Square,,HISTRES_TYPE_ID:22,Index,LASHPO-LHRI
HISTRES_TYPE_ID:24,Minimal Tradition Cottage,,HISTRES_TYPE_ID:22,Index,LASHPO-LHRI
HISTRES_TYPE_ID:25,Split Level,,HISTRES_TYPE_ID:22,Index,LASHPO-LHRI
HISTRES_TYPE_ID:26,Ranch,,HISTRES_TYPE_ID:22,Index,LASHPO-LHRI
HISTRES_TYPE_ID:27,Row House,,HISTRES_TYPE_ID:22,Index,LASHPO-LHRI
HISTRES_TYPE_ID:28,Warehouse,,HISTRES_TYPE_ID:22,Index,LASHPO-LHRI
HISTRES_TYPE_ID:29,Depot,,HISTRES_TYPE_ID:22,Index,LASHPO-LHRI
HISTRES_TYPE_ID:30,Skyscraper ,,HISTRES_TYPE_ID:22,Index,LASHPO-LHRI
HISTRES_TYPE_ID:31,Commercial Row Bldg.,,HISTRES_TYPE_ID:22,Index,LASHPO-LHRI
HISTRES_TYPE_ID:32,Freestanding Commercial,,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,Index,LASHPO-LHRI
HISTRES_TYPE_ID:33,Single-Crib Barn,,HISTRES_TYPE_ID:32,Index,LASHPO-LHRI
HISTRES_TYPE_ID:34,Transverse-Crib Barn,,HISTRES_TYPE_ID:32,Index,LASHPO-LHRI
HISTRES_TYPE_ID:35,Other ,,HISTRES_TYPE_ID:32,Index,LASHPO-LHRI
