conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
STATUS_CODE:1,National Register,,STATUS_AUTHORITY_DOCUMENT.csv,Collector,CRNHA
STATUS_CODE:2,Listed - Individual,,STATUS_CODE:1,Index,CRNHA
STATUS_CODE:3,Listed - Contributing to District,,STATUS_CODE:1,Index,CRNHA
STATUS_CODE:4,Eligible,,STATUS_CODE:1,Index,CRNHA
STATUS_CODE:5,Potentially Eligible,,STATUS_CODE:1,Index,CRNHA
STATUS_CODE:6,Not Eligible,,STATUS_CODE:1,Index,CRNHA
STATUS_CODE:7,Other Options,,STATUS_AUTHORITY_DOCUMENT.csv,Collector,CRNHA
STATUS_CODE:8,Contributing,,STATUS_CODE:7,Index,CRNHA
STATUS_CODE:9,Non-Contributing,,STATUS_CODE:7,Index,CRNHA
STATUS_CODE:10,Managed as a Cultural Resource,,STATUS_CODE:7,Index,CRNHA
STATUS_CODE:11,Undetermined,,STATUS_CODE:7,Index,CRNHA
STATUS_CODE:12,Unknown,,STATUS_CODE:7,Index,CRNHA
