conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider
STYLE:1,No style,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:2,Not Applicable,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:3,Unknown/not visible,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:4,Other,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:5,Adobe,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:6,"Adobe, Late Revival ",,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:7,American Colonial Revival,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:8,American Foursquare,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:9,Arroyo Stone,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:10,Art Deco,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:11,Beaux Arts Classicism,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:12,Brutalist,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:13,Byzantine,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:14,"Commercial, Vernacular ",,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:15,Craftsman,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:16,Deconstructivist,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:17,Dutch Colonial Revival,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:18,Egyptian Revival,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:19,Exotic Revival,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:20,Expressionist,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:21,Folk Victorian ,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:22,French Revival (Norman) ,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
STYLE:23,Georgian Revival,,STYLE_AUTHORITY_DOCUMENT.csv,Index,GCI
