conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
UNIT_OF_MEASUREMENT:1,Imperial,,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.csv,Collector,CRNHA
UNIT_OF_MEASUREMENT:2,inches,,UNIT_OF_MEASUREMENT:1,Index,GCI
UNIT_OF_MEASUREMENT:3,feet,,UNIT_OF_MEASUREMENT:1,Index,GCI
UNIT_OF_MEASUREMENT:4,yards,,UNIT_OF_MEASUREMENT:1,Index,GCI
UNIT_OF_MEASUREMENT:5,miles,,UNIT_OF_MEASUREMENT:1,Index,GCI
UNIT_OF_MEASUREMENT:6,ounces,,UNIT_OF_MEASUREMENT:1,Index,GCI
UNIT_OF_MEASUREMENT:7,pounds,,UNIT_OF_MEASUREMENT:1,Index,GCI
UNIT_OF_MEASUREMENT:8,tons,,UNIT_OF_MEASUREMENT:1,Index,GCI
UNIT_OF_MEASUREMENT:9,Metric,,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.csv,Collector,CRNHA
UNIT_OF_MEASUREMENT:10,millimeters,millimetres,UNIT_OF_MEASUREMENT:9,Index,GCI
UNIT_OF_MEASUREMENT:11,centimeters,centimetres,UNIT_OF_MEASUREMENT:9,Index,GCI
UNIT_OF_MEASUREMENT:12,meters,metres,UNIT_OF_MEASUREMENT:9,Index,GCI
UNIT_OF_MEASUREMENT:13,kilometers,kilometres,UNIT_OF_MEASUREMENT:9,Index,GCI
UNIT_OF_MEASUREMENT:14,grams,,UNIT_OF_MEASUREMENT:9,Index,GCI
UNIT_OF_MEASUREMENT:15,kilograms,,UNIT_OF_MEASUREMENT:9,Index,GCI
UNIT_OF_MEASUREMENT:16,tonnes,,UNIT_OF_MEASUREMENT:9,Index,CRNHA
UNIT_OF_MEASUREMENT:17,Architectural,,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.csv,Collector,CRNHA
UNIT_OF_MEASUREMENT:18,stories,,UNIT_OF_MEASUREMENT:17,Index,CRNHA
